"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Bisbaumannia_pacifica_CARE-V15","Bisbaumannia_pacifica_M31","Bisbaumannia_pacifica_NBRC_102220","Halomonas_salifodinae_A2","Halomonas_salifodinae_IM328","Halomonas_salifodinae_JCM_14803"
"hisJ","","Histidine-binding periplasmic protein","6","6","1","1","7519","","","","776","776","776","Bisbaumannia_00648","ac2c10d1bfd924169bd1a7f9d07d0dbc_2766","GCA_007989625.1_ASM798962v1_genomic_01646","A2_03330","Halomonas_salifodinae_02418","9e3420b4b005a41cf6998e0a1df74e45_2955"
"apt","","Adenine phosphoribosyltransferase","6","6","1","1","3771","","","","545","545","545","Bisbaumannia_00152","ac2c10d1bfd924169bd1a7f9d07d0dbc_2371","GCA_007989625.1_ASM798962v1_genomic_03359","A2_00625","Halomonas_salifodinae_01611","9e3420b4b005a41cf6998e0a1df74e45_1874"
"hisQ_2","","Histidine transport system permease protein HisQ","6","6","1","1","7520","","","","707","707","707","Bisbaumannia_00649","ac2c10d1bfd924169bd1a7f9d07d0dbc_2765","GCA_007989625.1_ASM798962v1_genomic_01647","A2_03331","Halomonas_salifodinae_02419","9e3420b4b005a41cf6998e0a1df74e45_2956"
"ppsR","","Phosphoenolpyruvate synthase regulatory protein","6","6","1","1","3818","","","","833","833","833","Bisbaumannia_00197","ac2c10d1bfd924169bd1a7f9d07d0dbc_2325","GCA_007989625.1_ASM798962v1_genomic_00393","A2_00659","Halomonas_salifodinae_01641","9e3420b4b005a41cf6998e0a1df74e45_1909"
"lon_2","","Lon protease","6","6","1","1","3848","","","","2405","2405","2405","Bisbaumannia_00223","ac2c10d1bfd924169bd1a7f9d07d0dbc_2298","GCA_007989625.1_ASM798962v1_genomic_00367","A2_00688","Halomonas_salifodinae_01670","9e3420b4b005a41cf6998e0a1df74e45_1939"
"hupB","","DNA-binding protein HU-beta","6","6","1","1","3850","","","","272","272","272","Bisbaumannia_00224","ac2c10d1bfd924169bd1a7f9d07d0dbc_2297","GCA_007989625.1_ASM798962v1_genomic_00366","A2_00689","Halomonas_salifodinae_01671","9e3420b4b005a41cf6998e0a1df74e45_1940"
"cirA_1","","Colicin I receptor","6","6","1","1","7539","","","","2126","2126","2126","Bisbaumannia_00652","ac2c10d1bfd924169bd1a7f9d07d0dbc_2762","GCA_007989625.1_ASM798962v1_genomic_01650","A2_03334","Halomonas_salifodinae_02432","9e3420b4b005a41cf6998e0a1df74e45_2967"
"group_1022","","hypothetical protein","6","6","1","1","3879","","","","530","530","530","Bisbaumannia_00243","ac2c10d1bfd924169bd1a7f9d07d0dbc_2277","GCA_007989625.1_ASM798962v1_genomic_00347","A2_00706","Halomonas_salifodinae_01695","9e3420b4b005a41cf6998e0a1df74e45_1958"
"dctM_1","","C4-dicarboxylate TRAP transporter large permease protein DctM","6","6","1","1","3880","","","","1298","1298","1298","Bisbaumannia_00244","ac2c10d1bfd924169bd1a7f9d07d0dbc_2276","GCA_007989625.1_ASM798962v1_genomic_00346","A2_00707","Halomonas_salifodinae_01696","9e3420b4b005a41cf6998e0a1df74e45_1959"
"glaR_2","","HTH-type transcriptional repressor GlaR","6","6","1","1","3890","","","","686","686","686","Bisbaumannia_00251","ac2c10d1bfd924169bd1a7f9d07d0dbc_2269","GCA_007989625.1_ASM798962v1_genomic_00339","A2_00714","Halomonas_salifodinae_01703","9e3420b4b005a41cf6998e0a1df74e45_1966"
"glaH","","Glutarate 2-hydroxylase","6","6","1","1","3891","","","","980","980","980","Bisbaumannia_00252","ac2c10d1bfd924169bd1a7f9d07d0dbc_2268","GCA_007989625.1_ASM798962v1_genomic_00338","A2_00715","Halomonas_salifodinae_01704","9e3420b4b005a41cf6998e0a1df74e45_1967"
"crt_2","","Short-chain-enoyl-CoA hydratase","6","6","1","1","7548","","","","797","797","797","Bisbaumannia_00659","ac2c10d1bfd924169bd1a7f9d07d0dbc_2761","GCA_007989625.1_ASM798962v1_genomic_01651","A2_03341","Halomonas_salifodinae_02433","9e3420b4b005a41cf6998e0a1df74e45_2975"
"pat_2","","Peptidyl-lysine N-acetyltransferase Pat","6","6","1","1","7549","","","","2180","2204","2200","Bisbaumannia_00660","ac2c10d1bfd924169bd1a7f9d07d0dbc_2760","GCA_007989625.1_ASM798962v1_genomic_01652","A2_03342","Halomonas_salifodinae_02434","9e3420b4b005a41cf6998e0a1df74e45_2976"
"moaB","","Molybdenum cofactor biosynthesis protein B","6","6","1","1","3288","","","","530","530","530","Bisbaumannia_00368","ac2c10d1bfd924169bd1a7f9d07d0dbc_3455","GCA_007989625.1_ASM798962v1_genomic_00865","A2_00760","Halomonas_salifodinae_01749","9e3420b4b005a41cf6998e0a1df74e45_2014"
"group_1044","","hypothetical protein","6","6","1","1","3278","","","","320","320","320","Bisbaumannia_00369","ac2c10d1bfd924169bd1a7f9d07d0dbc_3454","GCA_007989625.1_ASM798962v1_genomic_00866","A2_00761","Halomonas_salifodinae_01750","9e3420b4b005a41cf6998e0a1df74e45_2015"
"fdhB1","","Formate dehydrogenase iron-sulfur subunit","6","6","1","1","3276","","","","614","614","614","Bisbaumannia_00371","ac2c10d1bfd924169bd1a7f9d07d0dbc_3452","GCA_007989625.1_ASM798962v1_genomic_00868","A2_00763","Halomonas_salifodinae_01752","9e3420b4b005a41cf6998e0a1df74e45_2017"
"crt_3","","Short-chain-enoyl-CoA hydratase","6","6","1","1","7550","","","","788","788","788","Bisbaumannia_00661","ac2c10d1bfd924169bd1a7f9d07d0dbc_2759","GCA_007989625.1_ASM798962v1_genomic_01653","A2_03343","Halomonas_salifodinae_02435","9e3420b4b005a41cf6998e0a1df74e45_2977"
"puuR_2","","HTH-type transcriptional regulator PuuR","6","6","1","1","3250","","","","632","632","632","Bisbaumannia_00380","ac2c10d1bfd924169bd1a7f9d07d0dbc_3441","GCA_007989625.1_ASM798962v1_genomic_00878","A2_00772","Halomonas_salifodinae_01761","9e3420b4b005a41cf6998e0a1df74e45_2026"
"metH","","Methionine synthase","6","6","1","1","2380","","","","3698","3716","3710","Bisbaumannia_00394","ac2c10d1bfd924169bd1a7f9d07d0dbc_3427","GCA_007989625.1_ASM798962v1_genomic_00892","A2_00786","Halomonas_salifodinae_01775","9e3420b4b005a41cf6998e0a1df74e45_2038"
"nfuA","","Fe/S biogenesis protein NfuA","6","6","1","1","2382","","","","590","590","590","Bisbaumannia_00395","ac2c10d1bfd924169bd1a7f9d07d0dbc_3426","GCA_007989625.1_ASM798962v1_genomic_00893","A2_00787","Halomonas_salifodinae_01776","9e3420b4b005a41cf6998e0a1df74e45_2039"
"sufE","","Cysteine desulfuration protein SufE","6","6","1","1","2386","","","","425","425","425","Bisbaumannia_00398","ac2c10d1bfd924169bd1a7f9d07d0dbc_3423","GCA_007989625.1_ASM798962v1_genomic_00896","A2_00790","Halomonas_salifodinae_01779","9e3420b4b005a41cf6998e0a1df74e45_2042"
"group_106","","hypothetical protein","6","6","1","1","7606","","","","992","992","992","Bisbaumannia_00680","ac2c10d1bfd924169bd1a7f9d07d0dbc_2741","GCA_007989625.1_ASM798962v1_genomic_01669","A2_03150","Halomonas_salifodinae_02475","9e3420b4b005a41cf6998e0a1df74e45_2894"
